case_id,difficulty_tier,scope_category,boundary_type,n_scope_crossings,recursive_call_depth,has_boundary_annotation,annotation_type,exclusion_trigger,documentation_notes
dtest_case_0271,complex,complex_scope,none,1,0,True,none,none,Tier complex: Complex multi-table join
dtest_case_0272,complex,complex_scope,soft,1,0,False,pre_boundary,none,Tier complex: Complex multi-table join
dtest_case_0273,standard,standard_scope,hard,0,1,False,pre_boundary,none,Tier standard: Standard single-scope query
dtest_case_0274,standard,standard_scope,soft,1,1,False,none,none,Tier standard: Standard single-scope query
dtest_case_0275,standard,standard_scope,none,1,0,False,mid_boundary,none,Tier standard: Standard single-scope query
dtest_case_0276,standard,standard_scope,soft,0,0,True,pre_boundary,none,Tier standard: Standard single-scope query
dtest_case_0277,standard,standard_scope,hard,1,0,False,pre_boundary,none,Tier standard: Standard single-scope query
dtest_case_0278,deep_nesting,deep_nesting,hard,4,3,True,pre_boundary,none,Tier deep_nesting: Deep nesting with scope crossing
dtest_case_0279,complex,complex_scope,none,0,1,False,mid_boundary,none,Tier complex: Complex multi-table join
dtest_case_0280,standard,standard_scope,none,1,1,True,none,gate_fail,Tier standard: Standard single-scope query
dtest_case_0281,complex,complex_scope,none,1,0,False,post_boundary,none,Tier complex: Complex multi-table join
dtest_case_0282,standard,standard_scope,none,0,0,False,pre_boundary,none,Tier standard: Standard single-scope query
dtest_case_0283,standard,standard_scope,soft,1,1,False,mid_boundary,none,Tier standard: Standard single-scope query
dtest_case_0284,deep_nesting,deep_nesting,hard,4,1,True,mid_boundary,gate_fail,Tier deep_nesting: Deep nesting with scope crossing
dtest_case_0285,standard,standard_scope,none,0,1,False,mid_boundary,gate_fail,Tier standard: Standard single-scope query
dtest_case_0286,complex,complex_scope,none,0,0,False,mid_boundary,none,Tier complex: Complex multi-table join
dtest_case_0287,standard,standard_scope,none,0,1,False,post_boundary,none,Tier standard: Standard single-scope query
dtest_case_0288,standard,standard_scope,none,0,1,False,pre_boundary,none,Tier standard: Standard single-scope query
dtest_case_0289,standard,standard_scope,soft,1,1,False,none,none,Tier standard: Standard single-scope query
dtest_case_0290,complex,complex_scope,none,0,0,False,none,none,Tier complex: Complex multi-table join
dtest_case_0291,standard,standard_scope,hard,1,0,True,mid_boundary,none,Tier standard: Standard single-scope query
dtest_case_0292,standard,standard_scope,none,0,0,False,none,none,Tier standard: Standard single-scope query
dtest_case_0293,complex,complex_scope,none,0,0,False,mid_boundary,none,Tier complex: Complex multi-table join
dtest_case_0294,standard,standard_scope,none,1,1,False,none,none,Tier standard: Standard single-scope query
dtest_case_0295,standard,standard_scope,none,1,0,True,post_boundary,none,Tier standard: Standard single-scope query
dtest_case_0296,standard,standard_scope,none,0,1,False,mid_boundary,none,Tier standard: Standard single-scope query
dtest_case_0297,standard,standard_scope,hard,0,1,False,pre_boundary,none,Tier standard: Standard single-scope query
dtest_case_0298,standard,standard_scope,none,1,0,False,mid_boundary,none,Tier standard: Standard single-scope query
dtest_case_0299,standard,standard_scope,none,0,0,False,pre_boundary,unverifiable,Tier standard: Standard single-scope query
dtest_case_0300,standard,standard_scope,none,1,1,False,mid_boundary,none,Tier standard: Standard single-scope query
dtest_case_0301,standard,standard_scope,none,0,0,True,pre_boundary,none,Tier standard: Standard single-scope query
dtest_case_0302,complex,complex_scope,none,1,0,True,post_boundary,none,Tier complex: Complex multi-table join
dtest_case_0303,complex,complex_scope,none,1,1,True,mid_boundary,none,Tier complex: Complex multi-table join
dtest_case_0304,standard,standard_scope,none,0,1,False,post_boundary,none,Tier standard: Standard single-scope query
dtest_case_0305,complex,complex_scope,soft,0,1,False,post_boundary,none,Tier complex: Complex multi-table join
dtest_case_0306,standard,standard_scope,none,0,0,True,pre_boundary,none,Tier standard: Standard single-scope query
dtest_case_0307,standard,standard_scope,none,0,1,False,mid_boundary,none,Tier standard: Standard single-scope query
dtest_case_0308,standard,standard_scope,soft,1,0,False,mid_boundary,none,Tier standard: Standard single-scope query
dtest_case_0309,standard,standard_scope,none,0,1,False,pre_boundary,none,Tier standard: Standard single-scope query
dtest_case_0310,standard,standard_scope,none,1,0,True,post_boundary,none,Tier standard: Standard single-scope query
dtest_case_0311,complex,complex_scope,none,1,0,False,post_boundary,gate_fail,Tier complex: Complex multi-table join
dtest_case_0312,complex,complex_scope,none,0,1,False,post_boundary,none,Tier complex: Complex multi-table join
dtest_case_0313,complex,complex_scope,hard,0,0,False,pre_boundary,none,Tier complex: Complex multi-table join
dtest_case_0314,standard,standard_scope,none,0,0,False,mid_boundary,none,Tier standard: Standard single-scope query
dtest_case_0315,complex,complex_scope,none,0,1,False,pre_boundary,none,Tier complex: Complex multi-table join
dtest_case_0316,standard,standard_scope,hard,1,0,False,pre_boundary,gate_fail,Tier standard: Standard single-scope query
dtest_case_0317,deep_nesting,deep_nesting,soft,4,3,True,post_boundary,none,Tier deep_nesting: Deep nesting with scope crossing
dtest_case_0318,standard,standard_scope,none,1,0,False,mid_boundary,none,Tier standard: Standard single-scope query
dtest_case_0319,standard,standard_scope,soft,1,0,False,mid_boundary,none,Tier standard: Standard single-scope query
dtest_case_0320,standard,standard_scope,none,0,0,False,pre_boundary,none,Tier standard: Standard single-scope query
dtest_case_0321,standard,standard_scope,none,1,1,False,post_boundary,unverifiable,Tier standard: Standard single-scope query
dtest_case_0322,complex,complex_scope,none,0,0,False,pre_boundary,gate_fail,Tier complex: Complex multi-table join
dtest_case_0323,standard,standard_scope,none,1,1,False,none,none,Tier standard: Standard single-scope query
dtest_case_0324,standard,standard_scope,none,0,1,False,none,none,Tier standard: Standard single-scope query
dtest_case_0325,complex,complex_scope,none,0,0,False,none,none,Tier complex: Complex multi-table join
dtest_case_0326,standard,standard_scope,none,0,0,False,none,none,Tier standard: Standard single-scope query
dtest_case_0327,standard,standard_scope,soft,1,0,False,none,none,Tier standard: Standard single-scope query
dtest_case_0328,complex,complex_scope,none,0,1,False,none,none,Tier complex: Complex multi-table join
dtest_case_0329,complex,complex_scope,soft,0,1,True,pre_boundary,none,Tier complex: Complex multi-table join
dtest_case_0330,complex,complex_scope,none,0,1,False,pre_boundary,none,Tier complex: Complex multi-table join
dtest_case_0331,complex,complex_scope,none,0,0,False,none,gate_fail,Tier complex: Complex multi-table join
dtest_case_0332,deep_nesting,deep_nesting,hard,2,1,True,mid_boundary,none,Tier deep_nesting: Deep nesting with scope crossing
dtest_case_0333,standard,standard_scope,none,1,1,False,mid_boundary,none,Tier standard: Standard single-scope query
dtest_case_0334,standard,standard_scope,soft,1,0,False,none,none,Tier standard: Standard single-scope query
dtest_case_0335,standard,standard_scope,soft,0,0,True,mid_boundary,none,Tier standard: Standard single-scope query
dtest_case_0336,deep_nesting,deep_nesting,soft,1,2,True,pre_boundary,gate_fail,Tier deep_nesting: Deep nesting with scope crossing
dtest_case_0337,complex,complex_scope,none,1,1,False,post_boundary,none,Tier complex: Complex multi-table join
dtest_case_0338,standard,standard_scope,none,1,0,False,mid_boundary,none,Tier standard: Standard single-scope query
dtest_case_0339,deep_nesting,deep_nesting,hard,1,1,True,mid_boundary,none,Tier deep_nesting: Deep nesting with scope crossing
dtest_case_0340,standard,standard_scope,none,0,1,False,mid_boundary,none,Tier standard: Standard single-scope query
dtest_case_0341,standard,standard_scope,hard,1,1,False,mid_boundary,unverifiable,Tier standard: Standard single-scope query
dtest_case_0342,complex,complex_scope,hard,1,0,True,post_boundary,none,Tier complex: Complex multi-table join
dtest_case_0343,deep_nesting,deep_nesting,hard,2,3,True,none,none,Tier deep_nesting: Deep nesting with scope crossing
dtest_case_0344,deep_nesting,deep_nesting,soft,4,3,True,mid_boundary,none,Tier deep_nesting: Deep nesting with scope crossing
dtest_case_0345,standard,standard_scope,soft,1,1,False,mid_boundary,none,Tier standard: Standard single-scope query
dtest_case_0346,standard,standard_scope,none,1,0,False,none,none,Tier standard: Standard single-scope query
dtest_case_0347,standard,standard_scope,none,0,0,False,post_boundary,none,Tier standard: Standard single-scope query
dtest_case_0348,standard,standard_scope,hard,0,0,False,post_boundary,none,Tier standard: Standard single-scope query
dtest_case_0349,standard,standard_scope,none,1,1,False,mid_boundary,none,Tier standard: Standard single-scope query
dtest_case_0350,standard,standard_scope,none,0,1,False,pre_boundary,none,Tier standard: Standard single-scope query
dtest_case_0351,deep_nesting,deep_nesting,soft,3,2,True,post_boundary,gate_fail,Tier deep_nesting: Deep nesting with scope crossing
dtest_case_0352,standard,standard_scope,none,0,1,False,pre_boundary,unverifiable,Tier standard: Standard single-scope query
dtest_case_0353,standard,standard_scope,none,0,1,False,none,gate_fail,Tier standard: Standard single-scope query
dtest_case_0354,standard,standard_scope,soft,0,0,False,post_boundary,none,Tier standard: Standard single-scope query
dtest_case_0355,standard,standard_scope,none,0,0,False,post_boundary,none,Tier standard: Standard single-scope query
dtest_case_0356,standard,standard_scope,none,0,0,False,none,gate_fail,Tier standard: Standard single-scope query
dtest_case_0357,standard,standard_scope,none,0,1,True,none,none,Tier standard: Standard single-scope query
dtest_case_0358,standard,standard_scope,none,1,0,True,post_boundary,none,Tier standard: Standard single-scope query
dtest_case_0359,complex,complex_scope,soft,0,1,False,pre_boundary,none,Tier complex: Complex multi-table join
dtest_case_0360,standard,standard_scope,soft,1,1,False,none,none,Tier standard: Standard single-scope query
dtest_case_0361,standard,standard_scope,none,0,1,False,mid_boundary,none,Tier standard: Standard single-scope query
dtest_case_0362,standard,standard_scope,none,1,1,False,pre_boundary,unverifiable,Tier standard: Standard single-scope query
dtest_case_0363,complex,complex_scope,none,0,1,False,post_boundary,gate_fail,Tier complex: Complex multi-table join
dtest_case_0364,standard,standard_scope,none,1,1,False,none,none,Tier standard: Standard single-scope query
dtest_case_0365,standard,standard_scope,none,0,0,False,post_boundary,none,Tier standard: Standard single-scope query
dtest_case_0366,complex,complex_scope,none,1,0,True,none,none,Tier complex: Complex multi-table join
dtest_case_0367,standard,standard_scope,none,0,1,False,none,none,Tier standard: Standard single-scope query
dtest_case_0368,complex,complex_scope,hard,0,1,False,post_boundary,gate_fail,Tier complex: Complex multi-table join
