case_id,cpfc_first_degradation_step,cpfc_pattern_label,cpfc_entropy_score,cpfc_rank_score,cpfc_internal_diagnostic,cpfc_output_timestamp
case_303,t1,unverifiable_or_excluded,32.8618,0.1335,medium_confidence,2025-01-22T14:00:00
case_304,t2,local_verification_collapse,22.2969,0.3867,high_confidence,2025-01-22T15:00:00
case_305,t2,dependency_mediated_propagation,21.2299,0.8211,high_confidence,2025-01-22T16:00:00
case_306,uncertain,dependency_mediated_propagation,5.202,0.9695,high_confidence,2025-01-22T17:00:00
case_307,t1,unverifiable_or_excluded,8.5752,0.4539,medium_confidence,2025-01-22T18:00:00
case_308,t1,local_verification_collapse,19.6459,0.507,medium_confidence,2025-01-22T19:00:00
case_309,none,dependency_mediated_propagation,1.5192,0.5722,high_confidence,2025-01-22T20:00:00
case_310,t0,unverifiable_or_excluded,51.2802,0.9323,low_confidence,2025-01-22T21:00:00
case_311,t1,unverifiable_or_excluded,0.7129,0.8582,medium_confidence,2025-01-22T22:00:00
case_312,t0,boundary_case,14.7882,0.1706,uncertain,2025-01-22T23:00:00
case_313,t0,local_verification_collapse,31.9009,0.4368,medium_confidence,2025-01-23T00:00:00
case_314,uncertain,local_verification_collapse,33.7351,0.464,high_confidence,2025-01-23T01:00:00
case_315,none,burst_associated_degradation,20.9004,0.7891,low_confidence,2025-01-23T02:00:00
case_316,t2,unverifiable_or_excluded,4.6342,0.6029,high_confidence,2025-01-23T03:00:00
case_317,t1,burst_associated_degradation,7.6364,0.6542,uncertain,2025-01-23T04:00:00
case_318,t0,burst_associated_degradation,60.7772,0.9982,medium_confidence,2025-01-23T05:00:00
case_319,t0,local_verification_collapse,32.0359,0.075,medium_confidence,2025-01-23T06:00:00
case_320,t0,boundary_case,52.1633,0.223,high_confidence,2025-01-23T07:00:00
case_321,t1,local_verification_collapse,30.6468,0.4079,high_confidence,2025-01-23T08:00:00
case_322,t2,dependency_mediated_propagation,53.5044,0.3478,uncertain,2025-01-23T09:00:00
case_323,t2,dependency_mediated_propagation,44.685,0.0216,low_confidence,2025-01-23T10:00:00
case_324,t0,dependency_mediated_propagation,15.8916,0.0918,uncertain,2025-01-23T11:00:00
case_325,uncertain,local_verification_collapse,31.962,0.681,low_confidence,2025-01-23T12:00:00
case_326,t2,local_verification_collapse,11.7529,0.8793,medium_confidence,2025-01-23T13:00:00
case_327,t2,burst_associated_degradation,9.2258,0.5142,low_confidence,2025-01-23T14:00:00
case_328,t2,local_verification_collapse,13.4648,0.5392,low_confidence,2025-01-23T15:00:00
case_329,t1,burst_associated_degradation,43.7647,0.2551,medium_confidence,2025-01-23T16:00:00
case_330,t0,local_verification_collapse,16.7884,0.7679,medium_confidence,2025-01-23T17:00:00
case_331,t1,dependency_mediated_propagation,27.3243,0.7518,medium_confidence,2025-01-23T18:00:00
case_332,none,dependency_mediated_propagation,16.6621,0.5884,uncertain,2025-01-23T19:00:00
case_333,t0,local_verification_collapse,15.4402,0.2127,medium_confidence,2025-01-23T20:00:00
case_334,t0,dependency_mediated_propagation,50.3096,0.097,high_confidence,2025-01-23T21:00:00
case_335,t0,local_verification_collapse,43.5154,0.0642,medium_confidence,2025-01-23T22:00:00
case_336,t0,local_verification_collapse,50.05,0.5927,medium_confidence,2025-01-23T23:00:00
case_337,none,unverifiable_or_excluded,58.1226,0.825,medium_confidence,2025-01-24T00:00:00
case_338,t2,dependency_mediated_propagation,22.2993,0.8583,low_confidence,2025-01-24T01:00:00
case_339,t1,boundary_case,14.9598,0.4636,uncertain,2025-01-24T02:00:00
case_340,t0,local_verification_collapse,37.0306,0.7843,medium_confidence,2025-01-24T03:00:00
case_341,t1,burst_associated_degradation,16.9771,0.9469,uncertain,2025-01-24T04:00:00
case_342,t1,boundary_case,25.5675,0.2752,high_confidence,2025-01-24T05:00:00
case_343,t0,burst_associated_degradation,19.5263,0.398,high_confidence,2025-01-24T06:00:00
case_344,t1,dependency_mediated_propagation,9.4297,0.9315,medium_confidence,2025-01-24T07:00:00
case_345,t1,dependency_mediated_propagation,45.9112,0.3382,high_confidence,2025-01-24T08:00:00
case_346,t2,dependency_mediated_propagation,26.325,0.9139,uncertain,2025-01-24T09:00:00
case_347,t2,unverifiable_or_excluded,46.3332,0.981,low_confidence,2025-01-24T10:00:00
case_348,t0,boundary_case,31.8282,0.6618,medium_confidence,2025-01-24T11:00:00
case_349,t1,unverifiable_or_excluded,45.9857,0.8169,high_confidence,2025-01-24T12:00:00
case_350,t2,local_verification_collapse,16.6733,0.7495,uncertain,2025-01-24T13:00:00
case_351,t1,boundary_case,59.1919,0.6995,uncertain,2025-01-24T14:00:00
case_352,none,unverifiable_or_excluded,48.5513,0.3069,high_confidence,2025-01-24T15:00:00
case_353,t2,local_verification_collapse,7.5738,0.0571,uncertain,2025-01-24T16:00:00
case_354,t0,local_verification_collapse,28.2577,0.3431,uncertain,2025-01-24T17:00:00
case_355,t0,boundary_case,11.2385,0.6669,medium_confidence,2025-01-24T18:00:00
case_356,t2,burst_associated_degradation,66.7063,0.1025,uncertain,2025-01-24T19:00:00
case_357,t0,boundary_case,55.2974,0.0119,high_confidence,2025-01-24T20:00:00
case_358,t2,local_verification_collapse,67.4712,0.1397,medium_confidence,2025-01-24T21:00:00
case_359,uncertain,boundary_case,28.4717,0.7157,high_confidence,2025-01-24T22:00:00
case_360,t2,local_verification_collapse,27.7583,0.9728,low_confidence,2025-01-24T23:00:00
case_361,t1,local_verification_collapse,34.6003,0.9831,high_confidence,2025-01-25T00:00:00
case_362,t2,local_verification_collapse,49.922,0.494,high_confidence,2025-01-25T01:00:00
case_363,t1,boundary_case,11.6043,0.8694,medium_confidence,2025-01-25T02:00:00
case_364,t1,burst_associated_degradation,25.7068,0.7368,uncertain,2025-01-25T03:00:00
case_365,uncertain,dependency_mediated_propagation,44.1656,0.501,high_confidence,2025-01-25T04:00:00
case_366,t1,dependency_mediated_propagation,57.2421,0.5728,medium_confidence,2025-01-25T05:00:00
case_367,uncertain,unverifiable_or_excluded,34.5094,0.1372,low_confidence,2025-01-25T06:00:00
case_368,uncertain,dependency_mediated_propagation,54.1564,0.9377,medium_confidence,2025-01-25T07:00:00
case_369,t0,boundary_case,64.2376,0.3519,medium_confidence,2025-01-25T08:00:00
