case_id,step_index,verification_passed,verification_type,confidence
case_199,t0,True,execution,0.31
case_199,t1,False,syntax,0.46
case_199,t2,True,execution,0.82
case_199,t3,False,schema,0.47
case_200,t0,True,execution,0.47
case_200,t1,True,semantic,0.32
case_200,t2,False,semantic,0.38
case_201,t0,False,schema,0.48
case_201,t1,False,execution,0.39
case_201,t2,False,semantic,0.41
case_201,t3,True,execution,0.61
case_202,t0,True,execution,0.42
case_202,t1,True,semantic,0.88
case_202,t2,True,semantic,0.71
case_202,t3,True,syntax,0.56
case_202,t4,True,execution,0.61
case_203,t0,True,schema,0.8
case_203,t1,True,syntax,0.4
case_203,t2,False,syntax,0.85
case_203,t3,True,schema,0.64
case_203,t4,True,syntax,0.43
case_204,t0,True,execution,0.32
case_204,t1,False,schema,0.76
case_204,t2,False,syntax,0.5
case_205,t0,True,execution,0.35
case_205,t1,False,syntax,0.93
case_205,t2,False,semantic,0.5
case_206,t0,False,schema,0.65
case_206,t1,False,schema,0.52
case_206,t2,True,execution,0.31
case_206,t3,False,schema,0.33
case_206,t4,False,schema,0.82
case_207,t0,False,schema,0.67
case_207,t1,False,semantic,0.31
case_207,t2,True,syntax,0.78
case_208,t0,False,semantic,0.94
case_208,t1,False,semantic,0.9
case_208,t2,False,execution,0.39
case_209,t0,False,semantic,0.38
case_209,t1,True,execution,0.7
case_209,t2,True,semantic,0.63
case_210,t0,False,syntax,0.81
case_210,t1,False,execution,0.75
case_210,t2,True,execution,0.59
case_211,t0,False,semantic,0.9
case_211,t1,True,execution,0.36
case_211,t2,False,semantic,0.37
case_212,t0,True,semantic,0.89
case_212,t1,True,semantic,0.68
case_212,t2,True,schema,0.89
case_212,t3,False,syntax,0.75
case_213,t0,False,syntax,0.58
case_213,t1,True,syntax,0.48
case_213,t2,False,execution,0.85
case_213,t3,True,syntax,0.39
case_214,t0,True,semantic,0.91
case_214,t1,False,syntax,0.54
case_214,t2,False,execution,0.31
case_214,t3,True,syntax,0.71
case_214,t4,False,syntax,0.37
case_214,t5,True,semantic,0.78
case_215,t0,False,semantic,0.82
case_215,t1,True,semantic,0.61
case_215,t2,False,syntax,0.69
case_215,t3,False,syntax,0.64
case_216,t0,True,schema,0.72
case_216,t1,False,execution,0.69
case_216,t2,False,semantic,0.85
case_216,t3,True,execution,0.56
case_216,t4,True,semantic,0.37
case_217,t0,True,semantic,0.72
case_217,t1,True,schema,0.75
case_217,t2,True,syntax,0.6
case_218,t0,True,execution,0.5
case_218,t1,False,schema,0.86
case_218,t2,False,execution,0.94
case_219,t0,False,schema,0.48
case_219,t1,False,syntax,0.8
case_219,t2,False,schema,0.51
case_219,t3,False,schema,0.44
case_219,t4,True,semantic,0.47
case_220,t0,True,schema,0.73
case_220,t1,False,schema,0.73
case_220,t2,False,execution,0.42
case_221,t0,True,execution,0.38
case_221,t1,False,schema,0.56
case_221,t2,True,schema,0.66
case_221,t3,True,semantic,0.75
case_222,t0,True,schema,0.79
case_222,t1,False,syntax,0.6
case_222,t2,False,syntax,0.75
case_222,t3,True,syntax,0.75
case_223,t0,True,execution,0.46
case_223,t1,True,schema,0.66
case_223,t2,False,execution,0.63
case_223,t3,True,schema,0.54
case_223,t4,False,syntax,0.89
case_224,t0,True,schema,0.75
case_224,t1,False,semantic,0.52
case_224,t2,True,syntax,0.41
case_225,t0,True,schema,0.49
case_225,t1,True,schema,0.73
case_225,t2,False,semantic,0.35
case_225,t3,True,schema,0.69
case_226,t0,True,semantic,0.48
case_226,t1,False,execution,0.65
case_226,t2,True,execution,0.55
case_226,t3,False,semantic,0.54
case_226,t4,True,execution,0.53
case_227,t0,False,semantic,0.66
case_227,t1,True,semantic,0.77
case_227,t2,True,schema,0.76
case_228,t0,False,schema,0.39
case_228,t1,True,semantic,0.58
case_228,t2,True,schema,0.32
case_228,t3,True,semantic,0.58
case_228,t4,False,syntax,0.83
case_229,t0,True,semantic,0.85
case_229,t1,False,execution,0.92
case_229,t2,False,semantic,0.76
case_229,t3,True,execution,0.9
case_229,t4,False,syntax,0.78
case_230,t0,False,syntax,0.6
case_230,t1,True,schema,0.9
case_230,t2,True,execution,0.88
case_230,t3,False,schema,0.37
case_230,t4,False,syntax,0.78
case_230,t5,False,execution,0.33
case_231,t0,False,schema,0.52
case_231,t1,False,semantic,0.79
case_231,t2,True,schema,0.39
case_232,t0,True,schema,0.82
case_232,t1,True,syntax,0.58
case_232,t2,True,semantic,0.69
case_232,t3,False,schema,0.87
case_232,t4,True,execution,0.83
case_233,t0,True,semantic,0.67
case_233,t1,False,execution,0.38
case_233,t2,True,syntax,0.49
case_233,t3,True,schema,0.58
case_234,t0,True,syntax,0.91
case_234,t1,False,execution,0.46
case_234,t2,True,execution,0.61
case_234,t3,False,execution,0.72
case_235,t0,False,execution,0.88
case_235,t1,False,schema,0.87
case_235,t2,False,semantic,0.93
case_236,t0,True,execution,0.75
case_236,t1,False,schema,0.46
case_236,t2,False,execution,0.74
case_236,t3,True,syntax,0.66
case_236,t4,False,semantic,0.82
case_237,t0,True,syntax,0.56
case_237,t1,True,schema,0.32
case_237,t2,True,semantic,0.57
case_238,t0,True,schema,0.34
case_238,t1,False,execution,0.65
case_238,t2,False,semantic,0.83
case_238,t3,False,syntax,0.38
case_239,t0,False,schema,0.51
case_239,t1,True,semantic,0.89
case_239,t2,False,execution,0.52
case_240,t0,True,execution,0.83
case_240,t1,False,execution,0.53
case_240,t2,True,syntax,0.48
case_240,t3,False,syntax,0.8
case_240,t4,False,syntax,0.43
case_241,t0,True,execution,0.91
case_241,t1,True,execution,0.58
case_241,t2,True,semantic,0.42
case_241,t3,False,schema,0.77
case_241,t4,False,schema,0.5
case_242,t0,False,syntax,0.89
case_242,t1,True,syntax,0.85
case_242,t2,False,semantic,0.36
case_242,t3,False,syntax,0.4
case_242,t4,False,semantic,0.91
case_243,t0,True,semantic,0.87
case_243,t1,False,schema,0.35
case_243,t2,False,semantic,0.9
case_243,t3,True,semantic,0.89
case_244,t0,False,schema,0.3
case_244,t1,False,execution,0.51
case_244,t2,False,execution,0.46
case_245,t0,False,syntax,0.36
case_245,t1,False,schema,0.49
case_245,t2,False,execution,0.9
case_245,t3,True,semantic,0.59
case_245,t4,True,schema,0.61
case_246,t0,True,syntax,0.45
case_246,t1,True,syntax,0.54
case_246,t2,True,execution,0.52
case_246,t3,True,syntax,0.52
case_247,t0,False,execution,0.63
case_247,t1,True,semantic,0.89
case_247,t2,False,semantic,0.47
case_248,t0,True,execution,0.33
case_248,t1,False,execution,0.87
case_248,t2,True,semantic,0.51
case_248,t3,True,execution,0.94
case_248,t4,True,syntax,0.59
case_249,t0,True,execution,0.52
case_249,t1,True,schema,0.33
case_249,t2,True,schema,0.92
case_249,t3,True,semantic,0.5
case_249,t4,False,execution,0.45
case_249,t5,True,syntax,0.52
case_250,t0,True,syntax,0.48
case_250,t1,False,syntax,0.57
case_250,t2,False,syntax,0.83
case_250,t3,False,schema,0.78
case_250,t4,False,syntax,0.6
case_251,t0,False,semantic,0.63
case_251,t1,False,semantic,0.67
case_251,t2,True,semantic,0.89
case_251,t3,False,semantic,0.65
case_251,t4,True,schema,0.47
case_252,t0,True,execution,0.52
case_252,t1,True,semantic,0.39
case_252,t2,True,syntax,0.87
case_252,t3,True,syntax,0.47
case_252,t4,True,execution,0.66
case_252,t5,False,syntax,0.36
case_253,t0,False,schema,0.92
case_253,t1,True,syntax,0.44
case_253,t2,False,semantic,0.94
case_254,t0,True,semantic,0.91
case_254,t1,False,execution,0.42
case_254,t2,False,execution,0.75
case_254,t3,False,execution,0.64
case_255,t0,True,schema,0.44
case_255,t1,False,schema,0.68
case_255,t2,False,execution,0.74
case_255,t3,False,schema,0.61
case_255,t4,True,syntax,0.95
case_255,t5,False,schema,0.51
case_256,t0,True,execution,0.37
case_256,t1,True,execution,0.83
case_256,t2,True,schema,0.81
case_257,t0,False,syntax,0.42
case_257,t1,False,semantic,0.64
case_257,t2,False,semantic,0.76
case_257,t3,True,syntax,0.63
case_257,t4,False,semantic,0.46
case_258,t0,False,syntax,0.81
case_258,t1,True,execution,0.35
case_258,t2,False,execution,0.46
case_258,t3,False,semantic,0.9
case_259,t0,True,execution,0.31
case_259,t1,True,execution,0.76
case_259,t2,False,execution,0.87
case_259,t3,False,execution,0.73
case_260,t0,True,schema,0.92
case_260,t1,False,execution,0.36
case_260,t2,False,execution,0.31
case_260,t3,True,schema,0.38
case_260,t4,False,execution,0.75
case_261,t0,True,syntax,0.31
case_261,t1,True,schema,0.56
case_261,t2,True,schema,0.34
case_261,t3,False,syntax,0.4
case_261,t4,False,schema,0.34
case_261,t5,True,syntax,0.35
case_262,t0,False,syntax,0.39
case_262,t1,False,execution,0.9
case_262,t2,False,execution,0.54
case_262,t3,False,schema,0.81
case_262,t4,True,syntax,0.66
case_263,t0,True,schema,0.83
case_263,t1,True,schema,0.73
case_263,t2,False,syntax,0.49
case_264,t0,False,syntax,0.41
case_264,t1,True,syntax,0.41
case_264,t2,True,semantic,0.35
case_264,t3,False,schema,0.33
case_264,t4,False,semantic,0.39
case_264,t5,True,schema,0.59
case_265,t0,False,semantic,0.58
case_265,t1,True,schema,0.47
case_265,t2,True,schema,0.5
case_266,t0,False,semantic,0.74
case_266,t1,True,schema,0.59
case_266,t2,False,schema,0.92
case_266,t3,False,syntax,0.48
case_267,t0,False,syntax,0.6
case_267,t1,False,semantic,0.41
case_267,t2,True,execution,0.83
case_267,t3,False,execution,0.35
case_268,t0,True,semantic,0.37
case_268,t1,True,semantic,0.31
case_268,t2,False,semantic,0.71
case_268,t3,True,execution,0.58
case_269,t0,True,syntax,0.63
case_269,t1,True,schema,0.41
case_269,t2,False,semantic,0.6
case_269,t3,False,semantic,0.35
case_270,t0,True,syntax,0.64
case_270,t1,False,syntax,0.94
case_270,t2,False,semantic,0.6
case_270,t3,True,semantic,0.33
case_270,t4,False,syntax,0.65
case_270,t5,False,execution,0.5
case_271,t0,False,schema,0.42
case_271,t1,False,syntax,0.48
case_271,t2,True,syntax,0.51
case_271,t3,False,execution,0.84
case_271,t4,True,semantic,0.6
case_272,t0,False,syntax,0.41
case_272,t1,True,semantic,0.35
case_272,t2,False,schema,0.45
case_272,t3,True,schema,0.59
case_272,t4,False,execution,0.69
case_273,t0,True,schema,0.42
case_273,t1,True,execution,0.81
case_273,t2,True,syntax,0.37
case_274,t0,True,semantic,0.59
case_274,t1,False,execution,0.38
case_274,t2,False,semantic,0.5
case_274,t3,False,schema,0.84
case_274,t4,True,semantic,0.63
case_274,t5,False,semantic,0.84
case_275,t0,True,execution,0.46
case_275,t1,False,execution,0.52
case_275,t2,False,semantic,0.85
case_275,t3,False,execution,0.56
case_275,t4,True,semantic,0.43
case_275,t5,False,semantic,0.52
case_276,t0,False,schema,0.46
case_276,t1,True,semantic,0.48
case_276,t2,False,schema,0.31
case_276,t3,True,semantic,0.82
case_276,t4,True,semantic,0.6
case_277,t0,False,schema,0.63
case_277,t1,True,syntax,0.77
case_277,t2,False,execution,0.54
case_278,t0,True,semantic,0.34
case_278,t1,True,syntax,0.31
case_278,t2,False,schema,0.45
case_279,t0,True,schema,0.8
case_279,t1,False,execution,0.46
case_279,t2,True,syntax,0.75
case_280,t0,True,syntax,0.59
case_280,t1,False,semantic,0.86
case_280,t2,False,semantic,0.41
case_281,t0,False,syntax,0.59
case_281,t1,True,syntax,0.9
case_281,t2,True,syntax,0.51
case_281,t3,False,semantic,0.45
case_282,t0,False,syntax,0.4
case_282,t1,False,execution,0.49
case_282,t2,False,semantic,0.43
case_282,t3,False,schema,0.69
case_282,t4,False,execution,0.61
case_282,t5,False,semantic,0.36
case_283,t0,True,semantic,0.74
case_283,t1,False,schema,0.94
case_283,t2,True,schema,0.49
case_283,t3,True,semantic,0.61
case_284,t0,False,syntax,0.67
case_284,t1,False,syntax,0.9
case_284,t2,False,semantic,0.66
case_285,t0,True,execution,0.53
case_285,t1,False,schema,0.78
case_285,t2,True,execution,0.68
case_285,t3,True,execution,0.6
case_286,t0,False,schema,0.72
case_286,t1,True,syntax,0.68
case_286,t2,False,semantic,0.68
case_287,t0,True,execution,0.63
case_287,t1,True,schema,0.89
case_287,t2,True,execution,0.59
case_288,t0,True,semantic,0.47
case_288,t1,True,syntax,0.93
case_288,t2,True,schema,0.51
case_288,t3,False,semantic,0.66
case_289,t0,True,syntax,0.37
case_289,t1,True,execution,0.81
case_289,t2,True,syntax,0.74
case_289,t3,False,semantic,0.41
case_290,t0,True,schema,0.86
case_290,t1,False,semantic,0.42
case_290,t2,False,semantic,0.57
case_290,t3,True,semantic,0.62
case_290,t4,True,syntax,0.35
case_291,t0,False,syntax,0.8
case_291,t1,False,semantic,0.81
case_291,t2,True,schema,0.93
case_291,t3,False,schema,0.67
case_291,t4,True,syntax,0.39
case_291,t5,False,syntax,0.5
case_292,t0,False,execution,0.69
case_292,t1,False,schema,0.7
case_292,t2,True,execution,0.31
case_292,t3,True,syntax,0.64
case_293,t0,False,execution,0.75
case_293,t1,False,execution,0.72
case_293,t2,False,syntax,0.52
case_293,t3,True,execution,0.81
case_294,t0,False,semantic,0.48
case_294,t1,True,schema,0.35
case_294,t2,False,schema,0.9
case_294,t3,True,syntax,0.73
case_294,t4,False,execution,0.44
case_295,t0,False,semantic,0.79
case_295,t1,True,syntax,0.8
case_295,t2,True,schema,0.42
case_295,t3,False,execution,0.6
case_296,t0,True,execution,0.32
case_296,t1,True,syntax,0.54
case_296,t2,True,semantic,0.58
case_297,t0,True,semantic,0.8
case_297,t1,True,execution,0.32
case_297,t2,True,schema,0.46
case_297,t3,False,semantic,0.32
case_297,t4,False,syntax,0.67
case_297,t5,False,schema,0.51
case_298,t0,True,schema,0.81
case_298,t1,True,syntax,0.6
case_298,t2,True,schema,0.81
case_299,t0,False,semantic,0.69
case_299,t1,True,schema,0.37
case_299,t2,False,syntax,0.35
case_299,t3,True,schema,0.75
case_299,t4,False,execution,0.63
case_300,t0,True,execution,0.71
case_300,t1,False,semantic,0.61
case_300,t2,False,schema,0.81
case_300,t3,False,syntax,0.56
case_301,t0,True,semantic,0.57
case_301,t1,False,schema,0.69
case_301,t2,False,syntax,0.31
case_301,t3,False,execution,0.53
case_302,t0,True,syntax,0.86
case_302,t1,False,syntax,0.84
case_302,t2,False,syntax,0.56
case_302,t3,False,syntax,0.7
case_303,t0,True,syntax,0.72
case_303,t1,False,schema,0.78
case_303,t2,False,execution,0.61
case_303,t3,True,syntax,0.52
case_303,t4,True,schema,0.85
case_304,t0,True,schema,0.73
case_304,t1,False,execution,0.3
case_304,t2,True,syntax,0.32
case_305,t0,True,execution,0.49
case_305,t1,False,execution,0.68
case_305,t2,True,syntax,0.36
case_306,t0,True,semantic,0.81
case_306,t1,False,semantic,0.57
case_306,t2,False,execution,0.93
case_306,t3,True,execution,0.74
case_306,t4,False,syntax,0.42
case_307,t0,False,syntax,0.77
case_307,t1,True,semantic,0.82
case_307,t2,False,syntax,0.37
case_307,t3,False,schema,0.44
case_308,t0,False,schema,0.32
case_308,t1,True,execution,0.57
case_308,t2,False,syntax,0.55
case_309,t0,False,semantic,0.71
case_309,t1,False,syntax,0.51
case_309,t2,False,semantic,0.79
case_309,t3,False,semantic,0.91
case_309,t4,True,schema,0.54
case_309,t5,False,syntax,0.48
case_310,t0,False,syntax,0.64
case_310,t1,False,execution,0.36
case_310,t2,True,execution,0.75
case_310,t3,False,syntax,0.84
case_311,t0,True,syntax,0.88
case_311,t1,False,execution,0.37
case_311,t2,False,schema,0.35
case_311,t3,False,semantic,0.91
case_311,t4,True,syntax,0.84
case_312,t0,True,syntax,0.46
case_312,t1,True,semantic,0.89
case_312,t2,False,schema,0.63
case_312,t3,False,execution,0.53
case_312,t4,False,syntax,0.53
case_313,t0,False,schema,0.82
case_313,t1,False,execution,0.68
case_313,t2,False,semantic,0.86
case_313,t3,True,syntax,0.67
case_313,t4,False,execution,0.42
case_314,t0,True,semantic,0.34
case_314,t1,False,semantic,0.91
case_314,t2,False,execution,0.42
case_314,t3,False,schema,0.56
case_315,t0,False,execution,0.53
case_315,t1,False,syntax,0.59
case_315,t2,False,semantic,0.66
case_315,t3,True,semantic,0.74
case_315,t4,True,execution,0.59
case_315,t5,True,semantic,0.62
case_316,t0,False,schema,0.86
case_316,t1,False,semantic,0.58
case_316,t2,True,execution,0.54
case_317,t0,True,schema,0.89
case_317,t1,False,execution,0.86
case_317,t2,True,schema,0.54
case_317,t3,True,schema,0.88
case_317,t4,False,syntax,0.62
case_318,t0,True,execution,0.31
case_318,t1,True,semantic,0.58
case_318,t2,False,semantic,0.42
case_319,t0,True,syntax,0.68
case_319,t1,True,execution,0.4
case_319,t2,False,execution,0.68
case_319,t3,True,syntax,0.3
case_320,t0,False,syntax,0.7
case_320,t1,False,semantic,0.52
case_320,t2,False,schema,0.8
case_320,t3,False,semantic,0.9
case_321,t0,True,execution,0.49
case_321,t1,False,execution,0.7
case_321,t2,True,execution,0.32
case_321,t3,False,schema,0.83
case_321,t4,False,schema,0.6
case_321,t5,False,syntax,0.61
case_322,t0,True,syntax,0.83
case_322,t1,False,schema,0.47
case_322,t2,True,schema,0.7
case_322,t3,False,schema,0.72
case_322,t4,False,schema,0.78
case_322,t5,False,execution,0.91
case_323,t0,False,semantic,0.36
case_323,t1,True,execution,0.48
case_323,t2,True,execution,0.68
case_324,t0,True,semantic,0.68
case_324,t1,False,execution,0.77
case_324,t2,False,semantic,0.7
case_325,t0,False,semantic,0.34
case_325,t1,True,syntax,0.44
case_325,t2,True,syntax,0.62
case_325,t3,False,syntax,0.55
case_325,t4,False,schema,0.5
case_326,t0,True,semantic,0.93
case_326,t1,False,schema,0.57
case_326,t2,True,syntax,0.44
case_326,t3,True,schema,0.74
case_327,t0,False,semantic,0.47
case_327,t1,True,execution,0.32
case_327,t2,False,semantic,0.41
case_328,t0,True,semantic,0.9
case_328,t1,False,syntax,0.31
case_328,t2,True,execution,0.72
case_328,t3,True,execution,0.83
case_328,t4,False,semantic,0.31
case_329,t0,False,syntax,0.95
case_329,t1,True,schema,0.59
case_329,t2,True,syntax,0.31
case_329,t3,True,syntax,0.74
case_330,t0,True,execution,0.32
case_330,t1,False,execution,0.86
case_330,t2,True,syntax,0.81
case_330,t3,False,execution,0.86
case_330,t4,False,schema,0.88
case_330,t5,True,semantic,0.62
case_331,t0,True,syntax,0.57
case_331,t1,True,syntax,0.58
case_331,t2,True,execution,0.66
case_332,t0,False,syntax,0.57
case_332,t1,False,syntax,0.38
case_332,t2,True,schema,0.59
case_332,t3,False,schema,0.64
case_333,t0,True,schema,0.61
case_333,t1,True,execution,0.34
case_333,t2,False,semantic,0.61
case_333,t3,True,semantic,0.74
case_334,t0,True,syntax,0.46
case_334,t1,False,execution,0.62
case_334,t2,False,syntax,0.31
case_334,t3,True,schema,0.71
case_334,t4,True,syntax,0.74
case_335,t0,True,schema,0.9
case_335,t1,False,schema,0.73
case_335,t2,True,semantic,0.64
case_335,t3,True,syntax,0.85
case_336,t0,True,syntax,0.43
case_336,t1,False,execution,0.77
case_336,t2,False,syntax,0.93
case_336,t3,True,syntax,0.88
case_336,t4,False,semantic,0.81
case_337,t0,False,schema,0.41
case_337,t1,False,execution,0.74
case_337,t2,False,syntax,0.87
case_338,t0,False,schema,0.65
case_338,t1,False,execution,0.69
case_338,t2,True,syntax,0.63
case_338,t3,True,execution,0.72
case_338,t4,False,syntax,0.68
case_339,t0,False,semantic,0.57
case_339,t1,True,execution,0.65
case_339,t2,True,syntax,0.52
case_339,t3,False,schema,0.93
case_340,t0,True,schema,0.36
case_340,t1,False,semantic,0.75
case_340,t2,True,schema,0.82
case_341,t0,False,schema,0.31
case_341,t1,False,semantic,0.42
case_341,t2,True,schema,0.74
case_341,t3,False,schema,0.76
case_341,t4,False,syntax,0.33
case_342,t0,True,schema,0.34
case_342,t1,True,semantic,0.55
case_342,t2,True,schema,0.77
case_343,t0,True,syntax,0.61
case_343,t1,False,semantic,0.69
case_343,t2,False,syntax,0.57
case_344,t0,True,schema,0.79
case_344,t1,False,schema,0.37
case_344,t2,True,execution,0.92
case_344,t3,False,execution,0.64
case_344,t4,True,schema,0.68
case_344,t5,True,schema,0.94
case_345,t0,False,syntax,0.4
case_345,t1,True,execution,0.89
case_345,t2,False,execution,0.54
case_345,t3,True,schema,0.77
case_346,t0,False,syntax,0.3
case_346,t1,False,syntax,0.93
case_346,t2,True,schema,0.43
case_346,t3,True,syntax,0.65
case_346,t4,False,syntax,0.35
case_347,t0,False,schema,0.66
case_347,t1,True,semantic,0.57
case_347,t2,False,syntax,0.46
case_347,t3,True,syntax,0.5
case_348,t0,False,semantic,0.76
case_348,t1,False,syntax,0.52
case_348,t2,True,syntax,0.81
case_348,t3,True,semantic,0.81
case_348,t4,True,semantic,0.38
case_349,t0,False,semantic,0.6
case_349,t1,False,schema,0.58
case_349,t2,False,semantic,0.31
case_350,t0,True,syntax,0.68
case_350,t1,False,execution,0.8
case_350,t2,False,schema,0.35
case_350,t3,False,semantic,0.8
case_351,t0,True,execution,0.87
case_351,t1,False,execution,0.81
case_351,t2,True,semantic,0.55
case_351,t3,False,semantic,0.52
case_351,t4,False,schema,0.54
case_351,t5,False,schema,0.42
case_352,t0,True,execution,0.62
case_352,t1,True,schema,0.46
case_352,t2,False,semantic,0.81
case_352,t3,False,syntax,0.58
case_352,t4,True,execution,0.43
case_353,t0,True,schema,0.5
case_353,t1,False,execution,0.88
case_353,t2,False,semantic,0.61
case_353,t3,False,semantic,0.78
case_354,t0,True,syntax,0.58
case_354,t1,False,syntax,0.41
case_354,t2,True,syntax,0.56
case_354,t3,False,execution,0.4
case_355,t0,True,semantic,0.33
case_355,t1,True,schema,0.82
case_355,t2,False,schema,0.35
case_355,t3,True,syntax,0.84
case_355,t4,False,semantic,0.4
case_355,t5,False,semantic,0.42
case_356,t0,True,syntax,0.78
case_356,t1,True,semantic,0.85
case_356,t2,True,execution,0.85
case_356,t3,True,syntax,0.4
case_357,t0,True,schema,0.74
case_357,t1,False,semantic,0.54
case_357,t2,True,execution,0.58
case_357,t3,True,schema,0.75
case_357,t4,False,syntax,0.52
case_358,t0,True,semantic,0.77
case_358,t1,True,syntax,0.91
case_358,t2,True,semantic,0.77
case_358,t3,False,schema,0.87
case_358,t4,True,semantic,0.6
case_359,t0,True,schema,0.68
case_359,t1,True,execution,0.63
case_359,t2,False,schema,0.31
case_360,t0,True,execution,0.54
case_360,t1,True,schema,0.37
case_360,t2,True,semantic,0.67
case_361,t0,False,syntax,0.74
case_361,t1,True,semantic,0.58
case_361,t2,True,syntax,0.62
case_361,t3,False,schema,0.46
case_361,t4,False,schema,0.57
case_362,t0,True,schema,0.85
case_362,t1,True,semantic,0.83
case_362,t2,False,semantic,0.46
case_363,t0,True,syntax,0.69
case_363,t1,False,execution,0.41
case_363,t2,False,schema,0.6
case_363,t3,False,semantic,0.32
case_364,t0,True,schema,0.65
case_364,t1,True,schema,0.58
case_364,t2,False,execution,0.72
case_364,t3,True,execution,0.38
case_364,t4,False,execution,0.75
case_364,t5,False,schema,0.62
case_365,t0,False,syntax,0.86
case_365,t1,True,syntax,0.65
case_365,t2,False,semantic,0.36
case_365,t3,True,semantic,0.8
case_366,t0,False,syntax,0.76
case_366,t1,False,semantic,0.79
case_366,t2,False,execution,0.56
case_366,t3,True,semantic,0.58
case_366,t4,True,execution,0.92
case_367,t0,False,syntax,0.37
case_367,t1,False,syntax,0.41
case_367,t2,True,semantic,0.57
case_367,t3,False,execution,0.62
case_368,t0,True,execution,0.58
case_368,t1,True,semantic,0.38
case_368,t2,False,syntax,0.63
case_368,t3,True,semantic,0.31
case_369,t0,False,semantic,0.38
case_369,t1,False,semantic,0.91
case_369,t2,False,schema,0.76
