case_id,model_source,difficulty_tier,n_total_checkpoints,n_checkable_checkpoints,n_unverifiable_checkpoints,checkable_rate,main_unverifiable_reason
dtest_case_0084,gpt4,standard,3,1,2,0.3333,
dtest_case_0085,gpt4,standard,3,3,0,1.0,
dtest_case_0086,gpt4,complex,2,1,1,0.5,schema_mismatch
dtest_case_0087,gpt4,complex,2,1,1,0.5,timeout
dtest_case_0088,gpt4,standard,2,2,0,1.0,
dtest_case_0089,gpt4,standard,4,1,3,0.25,timeout
dtest_case_0090,gpt4,complex,4,1,3,0.25,unverifiable_predicate
dtest_case_0091,gpt4,standard,3,2,1,0.6667,unverifiable_predicate
dtest_case_0092,gpt4,standard,4,3,1,0.75,
dtest_case_0093,gpt4,standard,2,1,1,0.5,unverifiable_predicate
dtest_case_0094,gpt4,standard,4,2,2,0.5,schema_mismatch
dtest_case_0095,gpt4,complex,4,3,1,0.75,schema_mismatch
dtest_case_0096,gpt4,complex,2,1,1,0.5,timeout
dtest_case_0097,gpt4,standard,3,3,0,1.0,
dtest_case_0098,gpt4,standard,3,1,2,0.3333,format_error
dtest_case_0099,gpt4,standard,4,4,0,1.0,
dtest_case_0100,gpt4,complex,4,4,0,1.0,
dtest_case_0101,gpt4,standard,4,2,2,0.5,
dtest_case_0102,gpt4,complex,4,0,4,0.0,unverifiable_predicate
dtest_case_0103,gpt4,standard,2,2,0,1.0,
dtest_case_0104,gpt4,standard,3,2,1,0.6667,
dtest_case_0105,gpt4,standard,2,1,1,0.5,unverifiable_predicate
dtest_case_0106,gpt4,standard,2,1,1,0.5,format_error
dtest_case_0107,gpt4,standard,4,2,2,0.5,timeout
dtest_case_0108,gpt4,complex,4,1,3,0.25,timeout
dtest_case_0109,gpt4,complex,2,0,2,0.0,schema_mismatch
dtest_case_0110,gpt4,complex,4,1,3,0.25,
dtest_case_0111,gpt4,standard,2,1,1,0.5,format_error
dtest_case_0112,gpt4,standard,2,2,0,1.0,
dtest_case_0113,gpt4,standard,2,2,0,1.0,
dtest_case_0114,gpt4,deep_nesting,3,1,2,0.3333,format_error
dtest_case_0115,gpt4,complex,2,1,1,0.5,format_error
dtest_case_0116,gpt4,standard,4,1,3,0.25,timeout
dtest_case_0117,gpt4,standard,3,2,1,0.6667,schema_mismatch
dtest_case_0118,gpt4,standard,2,2,0,1.0,
dtest_case_0119,gpt4,standard,2,1,1,0.5,
dtest_case_0120,gpt4,complex,3,1,2,0.3333,timeout
dtest_case_0121,gpt4,complex,3,0,3,0.0,schema_mismatch
dtest_case_0122,gpt4,standard,2,2,0,1.0,
dtest_case_0123,gpt4,complex,4,1,3,0.25,schema_mismatch
dtest_case_0124,gpt4,complex,4,1,3,0.25,
dtest_case_0125,gpt4,deep_nesting,3,1,2,0.3333,timeout
dtest_case_0126,gpt4,complex,3,1,2,0.3333,
dtest_case_0127,gpt4,standard,3,2,1,0.6667,timeout
dtest_case_0128,gpt4,complex,4,1,3,0.25,unverifiable_predicate
dtest_case_0129,gpt4,standard,2,2,0,1.0,
dtest_case_0130,gpt4,standard,3,3,0,1.0,
dtest_case_0131,gpt4,standard,3,2,1,0.6667,unverifiable_predicate
dtest_case_0132,gpt4,complex,4,3,1,0.75,
dtest_case_0133,gpt4,complex,4,4,0,1.0,
dtest_case_0134,gpt4,complex,4,1,3,0.25,schema_mismatch
dtest_case_0135,gpt4,standard,2,2,0,1.0,
dtest_case_0136,gpt4,standard,4,3,1,0.75,format_error
dtest_case_0137,gpt4,standard,2,1,1,0.5,
dtest_case_0138,gpt4,standard,3,1,2,0.3333,timeout
dtest_case_0139,gpt4,standard,4,2,2,0.5,format_error
dtest_case_0140,gpt4,standard,4,4,0,1.0,
dtest_case_0141,gpt4,standard,2,2,0,1.0,
dtest_case_0142,gpt4,standard,3,1,2,0.3333,schema_mismatch
dtest_case_0143,gpt4,complex,3,0,3,0.0,timeout
dtest_case_0144,gpt4,standard,3,2,1,0.6667,format_error
dtest_case_0145,gpt4,complex,4,4,0,1.0,
dtest_case_0146,gpt4,standard,2,1,1,0.5,schema_mismatch
dtest_case_0147,gpt4,deep_nesting,3,1,2,0.3333,format_error
dtest_case_0148,gpt4,standard,3,2,1,0.6667,timeout
dtest_case_0149,gpt4,standard,3,2,1,0.6667,format_error
dtest_case_0150,gpt4,complex,4,1,3,0.25,
dtest_case_0151,gpt4,standard,4,2,2,0.5,schema_mismatch
dtest_case_0152,gpt4,complex,3,0,3,0.0,
dtest_case_0153,gpt4,standard,4,4,0,1.0,
dtest_case_0154,gpt4,complex,2,2,0,1.0,
dtest_case_0155,gpt4,complex,3,1,2,0.3333,schema_mismatch
dtest_case_0156,gpt4,standard,3,3,0,1.0,
dtest_case_0157,gpt4,complex,2,1,1,0.5,timeout
dtest_case_0158,gpt4,standard,4,1,3,0.25,format_error
dtest_case_0159,gpt4,complex,3,2,1,0.6667,schema_mismatch
dtest_case_0160,gpt4,standard,2,2,0,1.0,
dtest_case_0161,gpt4,complex,2,0,2,0.0,schema_mismatch
dtest_case_0162,gpt4,complex,2,1,1,0.5,format_error
dtest_case_0163,gpt4,complex,2,1,1,0.5,
dtest_case_0164,gpt4,standard,3,1,2,0.3333,schema_mismatch
dtest_case_0165,gpt4,complex,3,1,2,0.3333,timeout
dtest_case_0166,gpt4,complex,3,0,3,0.0,
dtest_case_0167,gpt4,complex,2,1,1,0.5,timeout
dtest_case_0168,gpt4,standard,2,2,0,1.0,
dtest_case_0169,gpt4,standard,2,1,1,0.5,schema_mismatch
dtest_case_0170,gpt4,complex,4,4,0,1.0,
dtest_case_0171,gpt4,standard,4,4,0,1.0,
dtest_case_0172,gpt4,standard,4,3,1,0.75,schema_mismatch
dtest_case_0173,gpt4,deep_nesting,2,1,1,0.5,unverifiable_predicate
dtest_case_0174,gpt4,standard,2,2,0,1.0,
dtest_case_0175,gpt4,complex,3,3,0,1.0,
dtest_case_0176,gpt4,standard,4,4,0,1.0,
dtest_case_0177,gpt4,standard,4,4,0,1.0,
dtest_case_0178,gpt4,complex,2,0,2,0.0,timeout
dtest_case_0179,gpt4,complex,3,1,2,0.3333,schema_mismatch
dtest_case_0180,gpt4,standard,4,1,3,0.25,
dtest_case_0181,gpt4,standard,2,1,1,0.5,format_error
dtest_case_0182,gpt4,deep_nesting,4,0,4,0.0,
dtest_case_0183,gpt4,complex,4,2,2,0.5,schema_mismatch
dtest_case_0184,gpt4,complex,3,1,2,0.3333,timeout
dtest_case_0185,gpt4,complex,2,1,1,0.5,format_error
dtest_case_0186,gpt4,complex,4,1,3,0.25,unverifiable_predicate
dtest_case_0187,gpt4,standard,2,1,1,0.5,format_error
dtest_case_0188,gpt4,standard,2,2,0,1.0,
dtest_case_0189,gpt4,standard,2,1,1,0.5,timeout
dtest_case_0190,gpt4,complex,4,3,1,0.75,unverifiable_predicate
dtest_case_0191,gpt4,deep_nesting,2,0,2,0.0,unverifiable_predicate
dtest_case_0192,gpt4,standard,4,4,0,1.0,
dtest_case_0193,gpt4,complex,2,1,1,0.5,format_error
dtest_case_0194,gpt4,standard,2,2,0,1.0,
dtest_case_0195,gpt4,complex,2,2,0,1.0,
dtest_case_0196,gpt4,complex,3,0,3,0.0,timeout
dtest_case_0197,gpt4,standard,3,3,0,1.0,
dtest_case_0198,gpt4,standard,2,1,1,0.5,timeout
dtest_case_0199,gpt4,deep_nesting,3,0,3,0.0,
dtest_case_0200,gpt4,standard,3,2,1,0.6667,schema_mismatch
dtest_case_0201,gpt4,standard,2,1,1,0.5,timeout
dtest_case_0202,gpt4,standard,2,2,0,1.0,
dtest_case_0203,gpt4,complex,2,1,1,0.5,schema_mismatch
dtest_case_0204,gpt4,standard,2,2,0,1.0,
dtest_case_0205,gpt4,standard,4,3,1,0.75,
dtest_case_0206,gpt4,standard,3,3,0,1.0,
dtest_case_0207,gpt4,standard,2,2,0,1.0,
dtest_case_0208,gpt4,standard,3,3,0,1.0,
dtest_case_0209,gpt4,complex,2,2,0,1.0,
dtest_case_0210,gpt4,standard,3,2,1,0.6667,unverifiable_predicate
dtest_case_0211,gpt4,standard,4,2,2,0.5,format_error
dtest_case_0212,gpt4,standard,4,2,2,0.5,timeout
dtest_case_0213,gpt4,standard,4,4,0,1.0,
dtest_case_0214,gpt4,deep_nesting,4,2,2,0.5,format_error
dtest_case_0215,gpt4,deep_nesting,2,0,2,0.0,schema_mismatch
dtest_case_0216,gpt4,standard,2,2,0,1.0,
dtest_case_0217,gpt4,standard,2,1,1,0.5,unverifiable_predicate
dtest_case_0218,gpt4,standard,4,1,3,0.25,unverifiable_predicate
dtest_case_0219,gpt4,complex,4,2,2,0.5,format_error
dtest_case_0220,gpt4,standard,4,1,3,0.25,timeout
dtest_case_0221,gpt4,standard,2,1,1,0.5,schema_mismatch
dtest_case_0222,gpt4,standard,2,1,1,0.5,unverifiable_predicate
dtest_case_0223,gpt4,deep_nesting,3,0,3,0.0,timeout
dtest_case_0224,gpt4,standard,4,3,1,0.75,format_error
dtest_case_0225,gpt4,complex,3,2,1,0.6667,unverifiable_predicate
dtest_case_0226,gpt4,standard,3,0,3,0.0,timeout
dtest_case_0227,gpt4,standard,2,1,1,0.5,unverifiable_predicate
dtest_case_0228,gpt4,complex,4,4,0,1.0,
dtest_case_0229,gpt4,complex,2,1,1,0.5,timeout
dtest_case_0230,gpt4,complex,3,2,1,0.6667,timeout
dtest_case_0231,gpt4,standard,2,2,0,1.0,
dtest_case_0232,gpt4,complex,4,1,3,0.25,timeout
dtest_case_0233,gpt4,standard,4,4,0,1.0,
dtest_case_0234,gpt4,standard,3,2,1,0.6667,timeout
dtest_case_0235,gpt4,complex,2,1,1,0.5,format_error
dtest_case_0236,gpt4,deep_nesting,3,0,3,0.0,format_error
dtest_case_0237,gpt4,deep_nesting,3,1,2,0.3333,format_error
dtest_case_0238,gpt4,complex,2,1,1,0.5,format_error
dtest_case_0239,gpt4,standard,2,1,1,0.5,schema_mismatch
dtest_case_0240,gpt4,standard,3,1,2,0.3333,
dtest_case_0241,gpt4,standard,2,1,1,0.5,unverifiable_predicate
dtest_case_0242,gpt4,complex,2,1,1,0.5,schema_mismatch
dtest_case_0243,gpt4,deep_nesting,3,1,2,0.3333,timeout
dtest_case_0244,gpt4,standard,2,2,0,1.0,
dtest_case_0245,gpt4,standard,3,1,2,0.3333,
dtest_case_0246,gpt4,standard,2,0,2,0.0,
dtest_case_0247,gpt4,standard,2,1,1,0.5,unverifiable_predicate
dtest_case_0248,gpt4,standard,2,1,1,0.5,timeout
dtest_case_0249,gpt4,deep_nesting,2,1,1,0.5,unverifiable_predicate
dtest_case_0250,gpt4,complex,3,3,0,1.0,
dtest_case_0251,gpt4,complex,4,0,4,0.0,schema_mismatch
dtest_case_0252,gpt4,complex,3,1,2,0.3333,
dtest_case_0253,gpt4,complex,4,1,3,0.25,
dtest_case_0254,gpt4,standard,3,3,0,1.0,
dtest_case_0255,gpt4,complex,4,1,3,0.25,unverifiable_predicate
dtest_case_0256,gpt4,standard,4,4,0,1.0,
dtest_case_0257,gpt4,complex,3,1,2,0.3333,timeout
dtest_case_0258,gpt4,complex,2,2,0,1.0,
dtest_case_0259,gpt4,complex,4,2,2,0.5,schema_mismatch
dtest_case_0260,gpt4,standard,4,3,1,0.75,timeout
dtest_case_0261,gpt4,complex,4,3,1,0.75,unverifiable_predicate
dtest_case_0262,gpt4,standard,3,2,1,0.6667,format_error
dtest_case_0263,gpt4,complex,3,2,1,0.6667,
dtest_case_0264,gpt4,complex,3,1,2,0.3333,timeout
dtest_case_0265,gpt4,standard,4,3,1,0.75,schema_mismatch
dtest_case_0266,gpt4,standard,3,2,1,0.6667,schema_mismatch
dtest_case_0267,gpt4,standard,2,1,1,0.5,schema_mismatch
dtest_case_0268,gpt4,deep_nesting,2,1,1,0.5,
dtest_case_0269,gpt4,deep_nesting,3,1,2,0.3333,format_error
dtest_case_0270,gpt4,standard,3,3,0,1.0,
dtest_case_0271,gpt4,complex,3,1,2,0.3333,unverifiable_predicate
dtest_case_0272,gpt4,complex,4,1,3,0.25,
dtest_case_0273,gpt4,standard,3,1,2,0.3333,timeout
dtest_case_0274,gpt4,standard,4,1,3,0.25,format_error
dtest_case_0275,gpt4,standard,4,2,2,0.5,format_error
dtest_case_0276,gpt4,standard,4,1,3,0.25,
dtest_case_0277,gpt4,standard,3,2,1,0.6667,unverifiable_predicate
dtest_case_0278,gpt4,deep_nesting,4,0,4,0.0,schema_mismatch
dtest_case_0279,gpt4,complex,2,1,1,0.5,schema_mismatch
dtest_case_0280,gpt4,standard,2,1,1,0.5,
dtest_case_0281,gpt4,complex,2,0,2,0.0,timeout
dtest_case_0282,gpt4,standard,4,0,4,0.0,schema_mismatch
dtest_case_0283,gpt4,standard,2,1,1,0.5,format_error
dtest_case_0284,gpt4,deep_nesting,4,0,4,0.0,unverifiable_predicate
dtest_case_0285,gpt4,standard,3,1,2,0.3333,unverifiable_predicate
dtest_case_0286,gpt4,complex,4,1,3,0.25,unverifiable_predicate
dtest_case_0287,gpt4,standard,2,1,1,0.5,timeout
dtest_case_0288,gpt4,standard,3,0,3,0.0,
dtest_case_0289,gpt4,standard,4,1,3,0.25,timeout
dtest_case_0290,gpt4,complex,3,1,2,0.3333,unverifiable_predicate
dtest_case_0291,gpt4,standard,4,4,0,1.0,
dtest_case_0292,gpt4,standard,4,4,0,1.0,
dtest_case_0293,gpt4,complex,2,1,1,0.5,timeout
dtest_case_0294,gpt4,standard,4,3,1,0.75,
dtest_case_0295,gpt4,standard,4,1,3,0.25,
dtest_case_0296,gpt4,standard,4,1,3,0.25,format_error
dtest_case_0297,gpt4,standard,4,2,2,0.5,timeout
dtest_case_0298,gpt4,standard,3,1,2,0.3333,format_error
dtest_case_0299,gpt4,standard,4,1,3,0.25,timeout
dtest_case_0300,gpt4,standard,2,2,0,1.0,
dtest_case_0301,gpt4,standard,3,3,0,1.0,
dtest_case_0302,gpt4,complex,2,2,0,1.0,
dtest_case_0303,gpt4,complex,4,2,2,0.5,timeout
dtest_case_0304,gpt4,standard,3,3,0,1.0,
dtest_case_0305,gpt4,complex,2,1,1,0.5,format_error
dtest_case_0306,gpt4,standard,3,2,1,0.6667,unverifiable_predicate
dtest_case_0307,gpt4,standard,3,3,0,1.0,
dtest_case_0308,gpt4,standard,2,2,0,1.0,
dtest_case_0309,gpt4,standard,3,1,2,0.3333,schema_mismatch
dtest_case_0310,gpt4,standard,4,2,2,0.5,timeout
dtest_case_0311,gpt4,complex,3,1,2,0.3333,
dtest_case_0312,gpt4,complex,2,2,0,1.0,
dtest_case_0313,gpt4,complex,4,4,0,1.0,
dtest_case_0314,gpt4,standard,2,1,1,0.5,
dtest_case_0315,gpt4,complex,2,2,0,1.0,
dtest_case_0316,gpt4,standard,3,2,1,0.6667,schema_mismatch
dtest_case_0317,gpt4,deep_nesting,3,3,0,1.0,
dtest_case_0318,gpt4,standard,3,1,2,0.3333,
dtest_case_0319,gpt4,standard,3,3,0,1.0,
dtest_case_0320,gpt4,standard,2,2,0,1.0,
dtest_case_0321,gpt4,standard,2,1,1,0.5,schema_mismatch
dtest_case_0322,gpt4,complex,2,1,1,0.5,timeout
dtest_case_0323,gpt4,standard,3,3,0,1.0,
dtest_case_0324,gpt4,standard,2,1,1,0.5,
dtest_case_0325,gpt4,complex,2,2,0,1.0,
dtest_case_0326,gpt4,standard,4,3,1,0.75,timeout
dtest_case_0327,gpt4,standard,4,1,3,0.25,unverifiable_predicate
dtest_case_0328,gpt4,complex,4,1,3,0.25,unverifiable_predicate
dtest_case_0329,gpt4,complex,3,0,3,0.0,
dtest_case_0330,gpt4,complex,3,1,2,0.3333,
dtest_case_0331,gpt4,complex,3,1,2,0.3333,unverifiable_predicate
dtest_case_0332,gpt4,deep_nesting,4,1,3,0.25,timeout
dtest_case_0333,gpt4,standard,4,2,2,0.5,
dtest_case_0334,gpt4,standard,2,2,0,1.0,
dtest_case_0335,gpt4,standard,4,3,1,0.75,timeout
dtest_case_0336,gpt4,deep_nesting,2,0,2,0.0,unverifiable_predicate
dtest_case_0337,gpt4,complex,3,1,2,0.3333,unverifiable_predicate
dtest_case_0338,gpt4,standard,2,2,0,1.0,
dtest_case_0339,gpt4,deep_nesting,4,0,4,0.0,format_error
dtest_case_0340,gpt4,standard,2,2,0,1.0,
dtest_case_0341,gpt4,standard,2,1,1,0.5,format_error
dtest_case_0342,gpt4,complex,2,1,1,0.5,schema_mismatch
dtest_case_0343,gpt4,deep_nesting,4,1,3,0.25,
dtest_case_0344,gpt4,deep_nesting,2,2,0,1.0,
dtest_case_0345,gpt4,standard,4,1,3,0.25,unverifiable_predicate
dtest_case_0346,gpt4,standard,4,1,3,0.25,
dtest_case_0347,gpt4,standard,2,2,0,1.0,
dtest_case_0348,gpt4,standard,2,2,0,1.0,
dtest_case_0349,gpt4,standard,2,2,0,1.0,
dtest_case_0350,gpt4,standard,3,3,0,1.0,
dtest_case_0351,gpt4,deep_nesting,3,1,2,0.3333,format_error
dtest_case_0352,gpt4,standard,3,3,0,1.0,
dtest_case_0353,gpt4,standard,4,3,1,0.75,unverifiable_predicate
dtest_case_0354,gpt4,standard,3,1,2,0.3333,format_error
dtest_case_0355,gpt4,standard,2,1,1,0.5,
dtest_case_0356,gpt4,standard,3,3,0,1.0,
dtest_case_0357,gpt4,standard,3,1,2,0.3333,format_error
dtest_case_0358,gpt4,standard,4,1,3,0.25,timeout
dtest_case_0359,gpt4,complex,4,1,3,0.25,
dtest_case_0360,gpt4,standard,2,2,0,1.0,
dtest_case_0361,gpt4,standard,4,3,1,0.75,unverifiable_predicate
dtest_case_0362,gpt4,standard,3,3,0,1.0,
dtest_case_0363,gpt4,complex,4,2,2,0.5,schema_mismatch
dtest_case_0364,gpt4,standard,2,2,0,1.0,
dtest_case_0365,gpt4,standard,3,1,2,0.3333,
dtest_case_0366,gpt4,complex,4,4,0,1.0,
dtest_case_0367,gpt4,standard,2,1,1,0.5,
dtest_case_0368,gpt4,complex,2,1,1,0.5,schema_mismatch
dtest_case_0000,claude3,standard,2,1,1,0.5,timeout
dtest_case_0001,claude3,standard,2,2,0,1.0,
dtest_case_0002,claude3,standard,4,2,2,0.5,
dtest_case_0003,claude3,standard,2,1,1,0.5,schema_mismatch
dtest_case_0004,claude3,standard,2,1,1,0.5,schema_mismatch
dtest_case_0005,claude3,standard,4,3,1,0.75,unverifiable_predicate
dtest_case_0006,claude3,standard,4,4,0,1.0,
dtest_case_0007,claude3,standard,3,2,1,0.6667,format_error
dtest_case_0008,claude3,complex,4,2,2,0.5,
dtest_case_0009,claude3,complex,4,0,4,0.0,unverifiable_predicate
dtest_case_0010,claude3,complex,3,3,0,1.0,
dtest_case_0011,claude3,standard,3,1,2,0.3333,unverifiable_predicate
dtest_case_0012,claude3,standard,4,1,3,0.25,format_error
dtest_case_0013,claude3,standard,4,0,4,0.0,
dtest_case_0014,claude3,standard,2,1,1,0.5,timeout
dtest_case_0015,claude3,standard,2,1,1,0.5,unverifiable_predicate
dtest_case_0016,claude3,standard,2,2,0,1.0,
dtest_case_0017,claude3,standard,2,2,0,1.0,
dtest_case_0018,claude3,standard,4,3,1,0.75,
dtest_case_0019,claude3,complex,2,2,0,1.0,
dtest_case_0020,claude3,standard,4,3,1,0.75,schema_mismatch
dtest_case_0021,claude3,complex,3,2,1,0.6667,format_error
dtest_case_0022,claude3,complex,4,4,0,1.0,
dtest_case_0023,claude3,standard,4,2,2,0.5,
dtest_case_0024,claude3,standard,2,2,0,1.0,
dtest_case_0025,claude3,complex,3,1,2,0.3333,unverifiable_predicate
dtest_case_0026,claude3,standard,2,2,0,1.0,
dtest_case_0027,claude3,standard,3,1,2,0.3333,
dtest_case_0028,claude3,standard,3,1,2,0.3333,
dtest_case_0029,claude3,standard,2,2,0,1.0,
dtest_case_0030,claude3,standard,3,3,0,1.0,
dtest_case_0031,claude3,deep_nesting,4,3,1,0.75,schema_mismatch
dtest_case_0032,claude3,standard,3,3,0,1.0,
dtest_case_0033,claude3,standard,4,4,0,1.0,
dtest_case_0034,claude3,standard,3,1,2,0.3333,
dtest_case_0035,claude3,deep_nesting,4,0,4,0.0,schema_mismatch
dtest_case_0036,claude3,deep_nesting,2,2,0,1.0,
dtest_case_0037,claude3,standard,4,1,3,0.25,format_error
dtest_case_0038,claude3,standard,4,4,0,1.0,
dtest_case_0039,claude3,standard,2,1,1,0.5,unverifiable_predicate
dtest_case_0040,claude3,standard,3,3,0,1.0,
dtest_case_0041,claude3,standard,3,3,0,1.0,
dtest_case_0042,claude3,complex,3,2,1,0.6667,schema_mismatch
dtest_case_0043,claude3,standard,2,1,1,0.5,timeout
dtest_case_0044,claude3,standard,4,2,2,0.5,format_error
dtest_case_0045,claude3,complex,2,1,1,0.5,schema_mismatch
dtest_case_0046,claude3,complex,4,1,3,0.25,
dtest_case_0047,claude3,standard,3,3,0,1.0,
dtest_case_0048,claude3,complex,2,1,1,0.5,unverifiable_predicate
dtest_case_0049,claude3,standard,4,0,4,0.0,timeout
dtest_case_0050,claude3,standard,2,2,0,1.0,
dtest_case_0051,claude3,deep_nesting,4,3,1,0.75,
dtest_case_0052,claude3,standard,3,1,2,0.3333,schema_mismatch
dtest_case_0053,claude3,standard,4,2,2,0.5,unverifiable_predicate
dtest_case_0054,claude3,complex,2,0,2,0.0,
dtest_case_0055,claude3,complex,3,2,1,0.6667,unverifiable_predicate
dtest_case_0056,claude3,complex,4,3,1,0.75,timeout
dtest_case_0057,claude3,deep_nesting,4,0,4,0.0,unverifiable_predicate
dtest_case_0058,claude3,standard,3,3,0,1.0,
dtest_case_0059,claude3,deep_nesting,3,3,0,1.0,
dtest_case_0060,claude3,standard,2,2,0,1.0,
dtest_case_0061,claude3,standard,2,2,0,1.0,
dtest_case_0062,claude3,complex,2,2,0,1.0,
dtest_case_0063,claude3,complex,2,1,1,0.5,schema_mismatch
dtest_case_0064,claude3,standard,4,1,3,0.25,schema_mismatch
dtest_case_0065,claude3,complex,2,2,0,1.0,
dtest_case_0066,claude3,standard,3,1,2,0.3333,
dtest_case_0067,claude3,standard,3,1,2,0.3333,
dtest_case_0068,claude3,standard,4,4,0,1.0,
dtest_case_0069,claude3,standard,4,1,3,0.25,unverifiable_predicate
dtest_case_0070,claude3,standard,4,4,0,1.0,
dtest_case_0071,claude3,standard,3,3,0,1.0,
dtest_case_0072,claude3,deep_nesting,4,0,4,0.0,format_error
dtest_case_0073,claude3,standard,3,2,1,0.6667,
dtest_case_0074,claude3,standard,4,1,3,0.25,schema_mismatch
dtest_case_0075,claude3,deep_nesting,3,0,3,0.0,format_error
dtest_case_0076,claude3,standard,4,2,2,0.5,unverifiable_predicate
dtest_case_0077,claude3,standard,3,1,2,0.3333,format_error
dtest_case_0078,claude3,standard,2,1,1,0.5,unverifiable_predicate
dtest_case_0079,claude3,standard,3,1,2,0.3333,schema_mismatch
dtest_case_0080,claude3,standard,4,4,0,1.0,
dtest_case_0081,claude3,standard,2,2,0,1.0,
dtest_case_0082,claude3,standard,4,3,1,0.75,
dtest_case_0083,claude3,standard,3,2,1,0.6667,unverifiable_predicate
dtest_case_0084,claude3,standard,4,4,0,1.0,
dtest_case_0085,claude3,standard,4,3,1,0.75,
dtest_case_0086,claude3,complex,3,1,2,0.3333,format_error
dtest_case_0087,claude3,complex,2,2,0,1.0,
dtest_case_0088,claude3,standard,3,3,0,1.0,
dtest_case_0089,claude3,standard,4,1,3,0.25,format_error
dtest_case_0090,claude3,complex,2,0,2,0.0,schema_mismatch
dtest_case_0091,claude3,standard,4,1,3,0.25,format_error
dtest_case_0092,claude3,standard,2,1,1,0.5,timeout
dtest_case_0093,claude3,standard,2,2,0,1.0,
dtest_case_0094,claude3,standard,3,3,0,1.0,
dtest_case_0095,claude3,complex,3,3,0,1.0,
dtest_case_0096,claude3,complex,4,3,1,0.75,format_error
dtest_case_0097,claude3,standard,2,1,1,0.5,schema_mismatch
dtest_case_0098,claude3,standard,4,0,4,0.0,timeout
dtest_case_0099,claude3,standard,2,2,0,1.0,
dtest_case_0100,claude3,complex,3,2,1,0.6667,timeout
dtest_case_0101,claude3,standard,4,2,2,0.5,unverifiable_predicate
dtest_case_0102,claude3,complex,4,3,1,0.75,unverifiable_predicate
dtest_case_0103,claude3,standard,3,1,2,0.3333,unverifiable_predicate
dtest_case_0104,claude3,standard,2,2,0,1.0,
dtest_case_0105,claude3,standard,4,3,1,0.75,timeout
dtest_case_0106,claude3,standard,3,1,2,0.3333,schema_mismatch
dtest_case_0107,claude3,standard,2,1,1,0.5,schema_mismatch
dtest_case_0108,claude3,complex,4,3,1,0.75,timeout
dtest_case_0109,claude3,complex,4,2,2,0.5,unverifiable_predicate
dtest_case_0110,claude3,complex,3,1,2,0.3333,format_error
dtest_case_0111,claude3,standard,3,3,0,1.0,
dtest_case_0112,claude3,standard,4,1,3,0.25,unverifiable_predicate
dtest_case_0113,claude3,standard,3,2,1,0.6667,timeout
dtest_case_0114,claude3,deep_nesting,4,1,3,0.25,unverifiable_predicate
dtest_case_0115,claude3,complex,2,0,2,0.0,format_error
dtest_case_0116,claude3,standard,2,2,0,1.0,
dtest_case_0117,claude3,standard,4,4,0,1.0,
dtest_case_0118,claude3,standard,3,1,2,0.3333,
dtest_case_0119,claude3,standard,3,3,0,1.0,
dtest_case_0120,claude3,complex,4,2,2,0.5,unverifiable_predicate
dtest_case_0121,claude3,complex,3,0,3,0.0,format_error
dtest_case_0122,claude3,standard,3,1,2,0.3333,
dtest_case_0123,claude3,complex,4,2,2,0.5,unverifiable_predicate
dtest_case_0124,claude3,complex,2,0,2,0.0,format_error
dtest_case_0125,claude3,deep_nesting,4,2,2,0.5,unverifiable_predicate
dtest_case_0126,claude3,complex,4,3,1,0.75,timeout
dtest_case_0127,claude3,standard,3,3,0,1.0,
dtest_case_0128,claude3,complex,2,1,1,0.5,schema_mismatch
dtest_case_0129,claude3,standard,3,1,2,0.3333,schema_mismatch
dtest_case_0130,claude3,standard,4,4,0,1.0,
dtest_case_0131,claude3,standard,4,1,3,0.25,
dtest_case_0132,claude3,complex,4,0,4,0.0,
dtest_case_0133,claude3,complex,2,1,1,0.5,schema_mismatch
dtest_case_0134,claude3,complex,2,2,0,1.0,
dtest_case_0135,claude3,standard,4,1,3,0.25,unverifiable_predicate
dtest_case_0136,claude3,standard,2,1,1,0.5,
dtest_case_0137,claude3,standard,4,4,0,1.0,
dtest_case_0138,claude3,standard,2,1,1,0.5,format_error
dtest_case_0139,claude3,standard,3,2,1,0.6667,
dtest_case_0140,claude3,standard,4,2,2,0.5,unverifiable_predicate
dtest_case_0141,claude3,standard,2,1,1,0.5,schema_mismatch
dtest_case_0142,claude3,standard,4,1,3,0.25,format_error
dtest_case_0143,claude3,complex,4,4,0,1.0,
dtest_case_0144,claude3,standard,2,1,1,0.5,timeout
dtest_case_0145,claude3,complex,2,2,0,1.0,
dtest_case_0146,claude3,standard,3,3,0,1.0,
dtest_case_0147,claude3,deep_nesting,4,1,3,0.25,schema_mismatch
dtest_case_0148,claude3,standard,4,3,1,0.75,unverifiable_predicate
dtest_case_0149,claude3,standard,2,1,1,0.5,format_error
dtest_case_0150,claude3,complex,4,4,0,1.0,
dtest_case_0151,claude3,standard,2,1,1,0.5,format_error
dtest_case_0152,claude3,complex,4,1,3,0.25,schema_mismatch
dtest_case_0153,claude3,standard,3,2,1,0.6667,format_error
dtest_case_0154,claude3,complex,3,2,1,0.6667,timeout
dtest_case_0155,claude3,complex,4,2,2,0.5,
dtest_case_0156,claude3,standard,4,3,1,0.75,timeout
dtest_case_0157,claude3,complex,2,1,1,0.5,schema_mismatch
dtest_case_0158,claude3,standard,2,1,1,0.5,unverifiable_predicate
dtest_case_0159,claude3,complex,2,0,2,0.0,format_error
